,pretrain_data,target,MSE,MAE,seed,model
183,exchange,weather,0.23562110930515487,0.3230767901601214,2023,CoST
184,weather,ETTh1,0.4401708853151215,0.45014087678867015,2023,CoST
185,weather,ETTh2,0.23923494335893,0.340195059515618,2023,CoST
186,weather,ETTm1,0.3414306091716102,0.380532098965603,2023,CoST
187,weather,ETTm2,0.16146306838077953,0.2768739700114313,2023,CoST
188,weather,electricity,0.18027594930770324,0.28140725564626096,2023,CoST
189,weather,traffic,0.4758960836717394,0.3366259121473669,2023,CoST
190,weather,exchange,0.12381922330710547,0.253576038804412,2023,CoST
191,weather,weather,0.25750403603899613,0.345929935776136,2023,CoST
192,ETTh1,ETTh1,0.43601943299911533,0.44608990666952714,2024,CoST
193,ETTh1,ETTh2,0.2338502263737045,0.3342210877076781,2024,CoST
194,ETTh1,ETTm1,0.3406309263258043,0.3791204332901285,2024,CoST
195,ETTh1,ETTm2,0.1585329267919143,0.273265564182383,2024,CoST
196,ETTh1,electricity,0.1763218059885529,0.2778891379188924,2024,CoST
197,ETTh1,traffic,0.4739785271511351,0.3337114590807451,2024,CoST
198,ETTh1,exchange,0.12629267086847262,0.257168586456838,2024,CoST
199,ETTh1,weather,0.2526597924477235,0.3511637001546502,2024,CoST
200,ETTh2,ETTh1,0.43228840431280735,0.4455507892191919,2024,CoST
201,ETTh2,ETTh2,0.2336643345041419,0.3344414889062027,2024,CoST
202,ETTh2,ETTm1,0.3402642794468089,0.3791579080086349,2024,CoST
203,ETTh2,ETTm2,0.15904271540013482,0.27397737577124953,2024,CoST
204,ETTh2,electricity,0.17553296703463026,0.27740332360394887,2024,CoST
205,ETTh2,traffic,0.473073182496193,0.33285980984498026,2024,CoST
206,ETTh2,exchange,0.11662577454344242,0.24651518194864486,2024,CoST
207,ETTh2,weather,0.2573126965313233,0.3539388117132516,2024,CoST
208,ETTm1,ETTh1,0.43131114545557286,0.44529533915750685,2024,CoST
209,ETTm1,ETTh2,0.23423062312773915,0.3357614287838446,2024,CoST
210,ETTm1,ETTm1,0.3391214621070205,0.3782445424351307,2024,CoST
211,ETTm1,ETTm2,0.15942187776721398,0.2744480323397027,2024,CoST
212,ETTm1,electricity,0.1752016553476167,0.27711134083698297,2024,CoST
213,ETTm1,traffic,0.47333741578514016,0.3324861086125117,2024,CoST
214,ETTm1,exchange,0.13045703554488833,0.26029686295504795,2024,CoST
215,ETTm1,weather,0.2546746325983361,0.3507818297616097,2024,CoST
216,ETTm2,ETTh1,0.4324286076578653,0.4459760519773712,2024,CoST
217,ETTm2,ETTh2,0.2334919637088835,0.3351193227808893,2024,CoST
218,ETTm2,ETTm1,0.3404182561159204,0.3791301204328791,2024,CoST
219,ETTm2,ETTm2,0.15823370556174549,0.2731174596149832,2024,CoST
220,ETTm2,electricity,0.1755693068699532,0.2774222071694906,2024,CoST
221,ETTm2,traffic,0.47465644880684676,0.33345870163411595,2024,CoST
222,ETTm2,exchange,0.12623642047738007,0.2566313731262933,2024,CoST
223,ETTm2,weather,0.27530859175303507,0.37284857669080856,2024,CoST
224,electricity,ETTh1,0.43272504374987497,0.4455759169977116,2024,CoST
225,electricity,ETTh2,0.23509357397664646,0.33639039826905337,2024,CoST
226,electricity,ETTm1,0.33891102057742983,0.3801274988725079,2024,CoST
227,electricity,ETTm2,0.1611529327147113,0.2760817919165241,2024,CoST
228,electricity,electricity,0.16875150059170682,0.2703054226064897,2024,CoST
229,electricity,traffic,0.4731354907860312,0.32733407205077625,2024,CoST
230,electricity,exchange,0.15343094301655189,0.2836657036775242,2024,CoST
231,electricity,weather,0.2684653314659252,0.36779642870960794,2024,CoST
232,traffic,ETTh1,0.43065599807880717,0.4485853673258323,2024,CoST
233,traffic,ETTh2,0.24274167314591233,0.34664763837373624,2024,CoST
234,traffic,ETTm1,0.343778658009376,0.3861448225450029,2024,CoST
235,traffic,ETTm2,0.16267187316674592,0.27971151205551686,2024,CoST
236,traffic,electricity,0.17988429646875329,0.28655043504433336,2024,CoST
